A0ADemolishStructure	_("Demolish Structure")
SK-Panther-Track-Repair	"*SK-Panther-Track-Repair*"
SK-Panther-Track-TK	"*SK-Panther-Track-TK*"
SK-Panther-VTOL-BB	"*SK-Panther-VTOL-BB*"
SK-Panther-VTOL-HEAP	"*SK-Panther-VTOL-HEAP*"
SK-Panther-VTOL-Phosbomb	"*SK-Panther-VTOL-Phosbomb*"
SK-Panther-VTOL-Thermite	"*SK-Panther-VTOL-Thermite*"
SK-Panther-VTOL-TK	"*SK-Panther-VTOL-TK*"
SK-Python-Hover-Hcannon	"*SK-Python-Hover-Hcannon*"
SK-Python-Hover-Lancer	"*SK-Python-Hover-Lancer*"
SK-Python-Hover-Mcannon	"*SK-Python-Hover-Mcannon*"
Sk-PythonHvCanTrack	_("Heavy Cannon Python Tracks")
SK-Python-Track-Hcannon	"*SK-Python-Track-Hcannon*"
SK-Retal-Hover-CBSensor	"*SK-Retal-Hover-CBSensor*"
SK-Retal-Hover-HvyRepair	"*SK-Retal-Hover-HvyRepair*"
SK-Retal-Hover-PlasmiteFlamer	"*SK-Retal-Hover-PlasmiteFlamer*"
SK-Retal-Hover-Repair	"*SK-Retal-Hover-Repair*"
SK-Retal-Hover-Sensor	"*SK-Retal-Hover-Sensor*"
SK-Retal-Hover-WSensor	"*SK-Retal-Hover-WSensor*"
SK-Retal-Track-Needle	"*SK-Retal-Track-Needle*"
SK-Retal-VTOL-HEAP	"*SK-Retal-VTOL-HEAP*"
SK-Retal-VTOL-Phosbomb	"*SK-Retal-VTOL-Phosbomb*"
SK-Retal-VTOL-Scourge	_("Scourge Retaliation VTOL")
SK-Retal-VTOL-Thermite	"*SK-Retal-VTOL-Thermite*"
SK-Retre-Hover-RailGun	"*SK-Retre-Hover-RailGun*"
SK-Retre-Hover-Scourge	"*SK-Retre-Hover-Scourge*"
SK-Retre-Htrk-Pepper	"*SK-Retre-Htrk-Pepper*"
SK-Retre-Track-FlashLight	"*SK-Retre-Track-FlashLight*"
SK-Retre-Track-PulseLsr	"*SK-Retre-Track-PulseLsr*"
SK-Retre-Track-RailGun	"*SK-Retre-Track-RailGun*"
SK-Retre-Track-Scourge	"*SK-Retre-Track-Scourge*"
SK-Retre-VTOL-EMP	"EMP Retribution VTOL"
SK-Retre-VTOL-HBB	_("Heap Bomb Bay Retribution VTOL")
SK-Retre-VTOL-HEAP	"HEAP Retribution VTOL"
SK-Retre-VTOL-Plasmite	_("Plasmite Retribution VTOL")
SK-Retre-VTOL-PulseLsr	"*SK-Retre-VTOL-PulseLsr*"
SK-Retre-VTOL-Scourge	"*SK-Retre-VTOL-Scourge*"
SK-Retre-VTOL-Thermite	"*SK-Retre-VTOL-Thermite*"
SK-Scorp-Heat-Hover-ASGUN	"*SK-Scorp-Heat-Hover-ASGUN*"
SK-Scorp-Heat-Hover-BB	"*SK-Scorp-Heat-Hover-BB*"
SK-Scorp-Heat-Hover-Bombard	"*SK-Scorp-Heat-Hover-Bombard*"
SK-Scorp-Heat-Hover-Lancer	"*SK-Scorp-Heat-Hover-Lancer*"
SK-Scorp-Heat-Track-ASGUN	"*SK-Scorp-Heat-Track-ASGUN*"
SK-Scorp-Hover-ASGUN	"*SK-Scorp-Hover-ASGUN*"
SK-Scorp-Hover-BB	"*SK-Scorp-Hover-BB*"
SK-Scorp-Hover-Bombard	"*SK-Scorp-Hover-Bombard*"
SK-Scorp-Hover-Lancer	"*SK-Scorp-Hover-Lancer*"
SK-Scorp-Hover-Mcannon	"*SK-Scorp-Hover-Mcannon*"
SK-Scorpion-Heat-VTOL-Hbomb	"*SK-Scorpion-Heat-VTOL-Hbomb*"
SK-Scorpion-VTOL-BB	"*SK-Scorpion-VTOL-BB*"
SK-Scorpion-VTOL-Hbomb	"*SK-Scorpion-VTOL-Hbomb*"
SK-Scorp-Track-ASGUN	"*SK-Scorp-Track-ASGUN*"
SK-Tiger-Hover-ASCannon	"*SK-Tiger-Hover-ASCannon*"
SK-Tiger-Hover-Gauss	"*SK-Tiger-Hover-Gauss*"
SK-Tiger-Hover-Hcannon	"*SK-Tiger-Hover-Hcannon*"
SK-Tiger-Hover-HVC	"*SK-Tiger-Hover-HVC*"
SK-Tiger-Hover-Scourge	"*SK-Tiger-Hover-Scourge*"
SK-Tiger-Hover-TK	"*SK-Tiger-Hover-TK*"
SK-Tiger-Track-ASCannon	"*SK-Tiger-Track-ASCannon*"
SK-Tiger-Track-EMPCannon	"Tiger EMP Cannon Track"
SK-Tiger-Track-Gauss	"*SK-Tiger-Track-Gauss*"
SK-Tiger-Track-Groundshaker	"SK-Tiger-Track-Groundshaker"
SK-Tiger-Track-Hcannon	"*SK-Tiger-Track-Hcannon*"
SK-Tiger-Track-Hellstorm	"Tiger Hellstorm Track"
SK-Tiger-Track-HVC	"*SK-Tiger-Track-HVC*"
SK-Tiger-Track-IncendiaryHowitzer	"Tiger IncendiaryHowitzer Track"
SK-Tiger-Track-IncSeraph	"Incendiary Seraph Tiger Track"
SK-Tiger-Track-NexusTurret	"Tiger Nexus Turret Track"
SK-Tiger-Track-Scourge	"*SK-Tiger-Track-Scourge*"
SK-Tiger-Track-Seraph	"Tiger Seraph Track"
SK-Tiger-Track-TK	"*SK-Tiger-Track-TK*"
SK-Veng-Hover-Gauss	"*SK-Veng-Hover-Gauss*"
SK-Veng-Hover-PlasmiteFlamer	"*SK-Veng-Hover-PlasmiteFlamer*"
SK-Veng-Hover-PulseLsr	"*SK-Veng-Hover-PulseLsr*"
SK-Veng-Hover-Scourge	"*SK-Veng-Hover-Scourge*"
SK-Veng-Hover-Seraph	"*SK-Veng-Hover-Seraph*"
SK-Veng-Track-C6TwinAslt	"*SK-Veng-Track-C6TwinAslt*"
SK-Veng-Track-EMPCannon	"Vengeance EMP Cannon Track"
SK-Veng-Track-Gauss	"*SK-Veng-Track-Gauss*"
SK-Veng-Track-Groundshaker	"Vengeance Groundshaker Track"
SK-Veng-Track-Hellstorm	"Vengeance Hellstorm Track"
SK-Veng-Track-HvyLaser	"*SK-Veng-Track-HvyLaser*"
SK-Veng-Track-IncSeraph	"Vengeance Incendiary Seraph Track"
SK-Veng-Track-NexusTurret	"Vengeance Nexus Turret Track"
SK-Veng-Track-PulseLsr	"*SK-Veng-Track-PulseLsr*"
SK-Veng-Track-Scourge	"*SK-Veng-Track-Scourge*"
SK-Veng-Track-Seraph	"Vengeance Seraph Track"
Spade1Mk1	_("Truck")
SPBomb	_("Proximity Superbomb Turret")
SpyTurret01	_("Nexus Link Turret")
StandardBrain	"*TEST - Standard Brain*"
Superbody	"Kev's Super Body"
Superbody2	"Alex's Super Body"
Super-EMP-Fort	"Super EMP Fortress"
Super-FlamerPlasma-Fort	"Super Plasmite Rail Fortress"
Super-Howitzer105Mk1-RailPlas-Empl	"Super Incendiary Rail Howitzer"
Super-Howitzer105Mk1-Rail-Ram-Empl	"Super Stabilized Rail Howitzer"
Super-Howitzer105Mk1-Ram-Empl	"Super Stabilized Howitzer"
Super-HowitzerPlas-Empl	"Super Incendiary Howitzer"
Super-Laser2-Fort	"Super Laser Fortress"
Super-LaserPlasma-Fort	"Super Plasma Cannon Fortress"
Super-MG-Fort	"Super Assault Gun Fortress"
Super-MortarGaussPlas-Empl	"Super Incendiary Rail Mortar"
Super-MortarGaussRamjet-Empl	"Super Stabilized Rail Mortar"
Super-MortarPlas-Empl	"Super Incendiary Mortar"
Super-MortarRamjet-Empl	"Super Stabilized Mortar"
Super-NEXUS-Fort	"Super NEXUS Link Fortress"
SuperTank	"Kev's Super Tank"
SuperTank2	"Alex's Killa"
SuperTransport	_("Super Transport")
SuperTransportBody	_("Super Transport Body")
SuperTransportNAS	"Super NASDA Transport"
Superweapon	"Kev's Super Weapon"
Superweapon2	"Alex's Super Weapon"
Sys-CBTower01	"*CB Tower*"
Sys-CB-Tower01	_("CB Tower")
Sys-CB-Tower02	"CB Plascrete Tower"
Sys-CB-Tower03	"CB Sky Tower"
Sys-CBTurret01	_("CB Radar Turret")
Sys-NEXUSLinkTOW	"*Sys-NEXUSLinkTOW*"
Sys-NX-CBTower	"*Sys-NX-CBTower*"
Sys-NXLinkTurret01	_("Nexus Link")
Sys-NX-SensorTower	"*Sys-NX-SensorTower*"
Sys-NX-VTOL-CB-Tow	"*Sys-NX-VTOL-CB-Tow*"
Sys-NX-VTOL-RadTow	"*Sys-NX-VTOL-RadTow*"
Sys-RadarDetector01	_("Radar Detector Tower")
Sys-SensoTower01	_("Sensor Tower")
Sys-SensoTower02	_("Hardened Sensor Tower")
Sys-SensoTower03	"Sensor Sky Tower"
Sys-SensoTower04	"Supercrete Sensor Tower"
Sys-SensoTower05	"Plascrete Sensor Tower"
Sys-SensoTower06	"Metal Sensor Tower"
Sys-SensoTowerWS	_("Wide Spectrum Sensor Tower")
Sys-SensoTowerWS-Sky	"Wide Spectrum Sky Tower"
Sys-SpyTower	_("Nexus Link Tower")
Sys-SpyTower-Sky	"Nexus Link Sky Tower"
Sys-VstrikeTurret01	_("VTOL Strike Turret")
Sys-VTOLCBTower01	_("VTOL CB Radar Tower")
Sys-VTOL-CB-Tower01	_("VTOL CB Tower")
Sys-VTOLCBTurret01	_("VTOL CB Radar Turret")
Sys-VTOLRadarTower01	_("VTOL CB Radar Tower")
Sys-VTOL-RadarTower01	_("VTOL Strike Tower")
TankTrap2C	_("Dragon's Teeth")
TankTrapC	_("Tank Traps")
TBug-HalfTrack-HeavyMG	"Heavy MG TBug Half-Track"
TBug-HalfTrack-LightCannon	"Light Cannon TBug Half-Track"
TBug-HalfTracks-MiniRocket	"Mini-Rocket TBug Half-tracks"
TBug-Wheel-LightCannon	"Light Cannon TBug Wheels"
TigerFlashlightHalf-tracks	"Flashlight Tiger HalfTrack"
TigerHoverPulseLas  	_("Pulse Laser Tiger Hover")
TigerHoverRailGun	_("Rail Gun Tiger Hover")
TigerHvLaserTracks	_("Heavy Laser Tiger Tracks")
TigerPlasmaCTracks	"Plasma Cannon Tiger Tracks"
TigerPulseTracks	_("Pulse Laser Tiger Tracks")
TigerTrackRailGun	"Rail Gun Tiger Track"
TK-Mantis-H	_("Tank Killer Mantis Hover")
TK-Mantis-Heat-H	"Tank Killer Thermal Mantis Hover"
Tower2-Cannon5VulcanMk1-Inc	"Incendiary Assault Cannon Tower"
Tower2-Laser3BEAMMk1-Gat	"Flashlight Tower"
Tower2-MG3Mk1-Aslt	"Augmented Heavy Machinegun Tower"
Tower-Projector	_("Inferno Bunker") //previously "Inferno Guard Tower"
Tower-RotMg	_("Assault Gun Emplacement")
TowerSensor	"*Tower Sensor*"
Tower-VulcanCan	_("Assault Cannon Guard Tower")
tracked01	_("Tracks")
tracked02	_("Tracks II")
tracked03	_("Tracks III")
Transporter	_("Cyborg Transport")
TransporterBody	_("Transport Body")
TransporterNAS	"NASDA Transport"
trapcorner	"*TrapCorner*"
trapstraight	"*TrapStraight*"
Tree1	"*Tree1*"
Tree2	"*Tree2*"
Tree3	"*Tree3*"
TreeSnow1	"*Snowy Tree1*"
TreeSnow2	"*Snowy Tree2*"
TreeSnow3	"*Snowy Tree3*"
TruckNAS	"NASDA Truck"
TScorpHTrackHMG	"Heavy Machinegun TScorpion Half Tracks"
TScorpionBBHalfTracks	"Bunker Buster TScorpion Half-tracks"
TScorpionHvyMortarHalftrack	"Bombard TScorpion Half-tracks"
TUTMG	_("Machinegun")
TwinAG-HvyHPython-Tracks	"Twin Assault Gun HvyHPython Tracks"
TwinAG-HvyLeopard-Tracks	"Twin Assault Gun HvyLeopard Tracks"
TwinAG-HvyMantisHeat-Tracks	"Twin Assault Gun HvyMantisHeat Tracks"
TwinAG-HvyMantis-Tracks	"Twin Assault Gun HvyMantis Tracks"
TwinAG-Mantis-H	"Twin Assault Gun Mantis Hover"
TwinAG-Mantis-Heat-H	"Twin Assault Gun Thermal Mantis Hover"
TwinAG-Mantis-Heat-Tracks	"Twin Assault Gun Thermal Mantis Tracks"
TwinAG-Mantis-Tracks	"Twin Assault Gun Mantis Tracks"
TwinAG-Retaliation-H	"Twin Assault Gun Retaliation Hover"
TwinAG-Vengeance-H	"Twin Assault Gun Vengeance Hover"
UplinkCentre	"*UplinkCentre*"
UplinkSensor	_("Uplink Sensor")
V-Bug-BB	_("VTOL Bunker Buster Bug VTOL")
V-Bug-ClusterBomb	_("VTOL Cluster Bomb Bay Bug VTOL")
V-Bug-Heat-BB	"VTOL Bunker Buster Thermal Bug VTOL"
V-Bug-Heat-ClusterBomb	"VTOL Cluster Bomb Bay Thermal Bug VTOL"
V-Bug-Heat-HPV	"VTOL Hyper Velocity Cannon Thermal Bug VTOL"
V-Bug-Heat-Lancer	"VTOL Lancer Thermal Bug VTOL"
V-Bug-Heat-Sunburst	"VTOL Sunburst Thermal Bug"
V-Bug-HPV	_("VTOL Hyper Velocity Cannon Bug VTOL")
V-Bug-Lancer	_("VTOL Lancer Bug VTOL")
V-Bug-Sunburst	"VTOL Sunburst Bug"
ViperBBWheels	_("Bunker Buster Rockets Viper Wheels")
ViperFlameHalfTracks	_("Flamer Viper Half-Tracks")
ViperFlameWheels	_("Flamer Viper Wheels")
Viper-Helicopter-HvyMG	"Viper Helicopter HMG"
ViperHMGHalftrack	_("Heavy Machinegun Viper Half-tracks")
ViperHMGTracks	_("Heavy Machinegun Viper Tracks")
ViperHMGWheels	_("Heavy Machinegun Viper Wheels")
ViperLtA-Twheels	_("Lancer Viper Wheels")
ViperLtCannonHTracks	_("Light Cannon Viper Half-tracks")
ViperLtCannonTracks	_("Light Cannon Viper Tracks")
ViperLtCannonWheels	_("Light Cannon Viper Wheels")
ViperLtMGHalfTracks	_("Machinegun Viper Half-Tracks")
ViperLtMGWheels	_("Machinegun Viper Wheels")
ViperMedCnTrks	_("Medium Cannon Viper Tracks")
ViperMG01Wheels	_("Machinegun Viper Wheels")
ViperMG02Halftrack	_("Twin Machinegun Viper Half-tracks")
ViperMG02Wheels	_("Twin Machinegun Viper Wheels")
ViperMortarHT	"Mortar Viper Halftrack"
ViperMortarWheels	"Mortar Viper Wheels"
ViperMRLHalfTracks	_("Mini-Rocket Array Viper Half Track")
ViperMRLWheels	_("Mini-Rocket Array Viper Wheels")
ViperPODHalfTracks	_("Mini-Rocket Viper Half Track")
ViperPODWheels	_("Mini-Rocket Viper Wheels")
ViperRepairHalftrack	_("Repair Turret Viper Half-track")
ViperRepairWheels	_("Repair Turret Viper Wheels")
ViperSensorWheels	_("Sensor Turret Viper Wheels")
Viper-Trk-Com	_("Command Turret Viper Tracks")
ViperTrkLancer	_("Lancer Viper Tracks")
V-Mantis-Heat-HPV	"VTOL Hyper Velocity Cannon Thermal Mantis VTOL"
V-Mantis-Heat-Lancer	"VTOL Lancer Thermal Mantis VTOL"
V-Mantis-HPV	_("VTOL Hyper Velocity Cannon Mantis VTOL")
V-Mantis-Lancer	_("VTOL Lancer Mantis VTOL")
V-Scor-BB	_("VTOL Bunker Buster Scorpion VTOL")
V-Scor-ClusterBomb	_("VTOL Cluster Bomb Bay Scorpion VTOL")
V-Scor-Heat-ClusterBomb	"VTOL Cluster Bomb Bay Thermal Scorpion VTOL"
V-Scor-Heat-HPV	"VTOL Hyper Velocity Cannon Thermal Scorpion VTOL"
V-Scor-Heat-PhosphorBomb	"VTOL Phosphor Bomb Bay Thermal Scorpion"
V-Scor-HPV	_("VTOL Hyper Velocity Cannon Scorpion VTOL")
V-Scor-Lancer	_("VTOL Lancer Scorpion VTOL")
V-Scor-PhosphorBomb	"VTOL Phosphor Bomb Bay Scorpion"
V-Tol	_("VTOL")
V-Tol02	_("VTOL II")
V-Tol03	_("VTOL III")
Wall	"Wall"
WallCorner	"Wallcorner"
WallCornerSmashed	 "Smashedcornerwall"
Wall-RotMg	_("Assault Gun Hardpoint")
WallSmashed	 "Smashedwall"
WallTower01	_("Heavy Machinegun Hardpoint")
WallTower02	_("Light Cannon Hardpoint")
WallTower03	_("Medium Cannon Hardpoint")
WallTower04	_("Heavy Cannon Hardpoint")
WallTower05	_("Flamer Hardpoint")
WallTower06	_("Lancer Hardpoint")
WallTower2-Cannon4AUTOMk1-Hvy-Inc	"Heavy Incendiary HPV Hardpoint"
WallTower2-Laser2PULSEMk1-Inc-Aslt	"Incendiary Flashlight Hardpoint"
WallTower2-MG5TWINROTARY-Hvy-Inc	"Incendiary Twin Assault Gun Bunker"
WallTower3-Cannon6TwinAslt-Rail	"Twin Assault Rail Hardpoint"
WallTower3-HeavyLaser-Gat	"Heavy Laser Rotary Hardpoint"
WallTower3-HeavyLaser-Inc-Aslt	"Heavy Laser Incendiary Assault Hardpoint"
WallTower3-Laser2PULSEMk1-Inc	"Incendiary Pulse Laser Hardpoint"
WallTower3-RailGun1Mk1-GatAA	"Reinforced Railgun Flak Hardpoint"
WallTower3-RailGun1Mk1-Gat-Twn	"Needle Gun Twin Rotary Hardpoint"
WallTower3-RailGun2Mk1-Twn-Inc	"Twin Rail Gun Incendiary Hardpoint"
WallTower3-Railgun-Flak	"Railgun Flak Hardpoint"
WallTower-AAGunLaser-Lng	"Reinforced Stormbringer Flak AA Hardpoint"
WallTower-Atmiss	_("Scourge Missile Hardpoint")
WallTower-DoubleAAGun	_("AA Flak Cannon Hardpoint")
WallTower-EMP	_("EMP Cannon Tower")
WallTower-HPVcannon	_("Hyper Velocity Cannon Hardpoint")
WallTower-HvATrocket	_("Tank Killer Hardpoint")
WallTower-MG5TWINROTARY-Hvy	"Augmented Twin Assault Gun Bunker"
WallTower-Projector	_("Inferno Hardpoint")
WallTower-PulseLas	_("Pulse Laser Hardpoint")
WallTower-QuadRotAAGun	_("Whirlwind Hardpoint")
WallTower-Rail2	_("Rail Gun Hardpoint")
WallTower-Rail3	_("Gauss Cannon Hardpoint")
WallTower-SamHvy	_("Vindicator Hardpoint")
WallTower-SamHvy-Arch	"Thermal Vindicator SAM Tower"
WallTower-SamSite	_("Avenger Hardpoint")
WallTower-SamSite-Arch	"Thermal Avenger SAM Tower"
WallTower-TwinAssaultGun	_("Twin Assault Gun Hardpoint")
Wall-VulcanCan	_("Assault Cannon Hardpoint")
WaterBuilding	"*Water Building*"
WaterBuilding2	"*Water Building2*"
WaterBuilding3	"*Water Building3*"
WaterTower	"*Water Tower*"
wheeled01	_("Wheels")
wheeled02	_("Wheels II")
wheeled03	_("Wheels III")
Wreck0	"*Wreck0*"
Wreck1	"*Wreck1*"
Wreck2	"*Wreck2*"
Wreck3	"*Wreck3*"
Wreck4	"*Wreck4*"
Wreck5	"*Wreck5*"
WreckedBridge	_("Wrecked Bridge")
WreckedBuilding10	"*Wrecked Building 10*"
WreckedBuilding11	"*Wrecked Building 11*"
WreckedBuilding12	"*Wrecked Building 12*"
WreckedBuilding13	"*Wrecked Building 13*"
WreckedBuilding14	"*Wrecked Building 14*"
WreckedBuilding15	"*Wrecked Building 15*"
WreckedBuilding16	"*Wrecked Building 16*"
WreckedBuilding17	"*Wrecked Building 17*"
WreckedBuilding6	"*Wrecked Building 6*"
WreckedBuilding7	"*Wrecked Building 7*"
WreckedBuilding8	"*Wrecked Building 8*"
WreckedBuilding9	"*Wrecked Building 9*"
WreckedDroidHub	_("Wreck")
WreckedSuzukiJeep	_("Wrecked Vehicle")
WreckedTank	_("Wrecked Tank")
WreckedTankerV	_("Wrecked Tanker")
WreckedTransporter	_("Downed Transport")
WreckedVertCampVan	_("Wrecked Van")
WyvernGaussTracks	_("Gauss Cannon Wyvern Tracks")
WyvernHellstormTracks	"Hellstorm Wyvern Tracks"
WyvernHvLaserTracks	_("Heavy Laser Wyvern Tracks")
WyvernPlasmaCTracks  	_("Plasma Cannon Wyvern Tracks")
WyvernPulseTracks	_("Pulse Laser Wyvern Tracks")
WyvernRailTracks	"Rail Gun Wyvern Tracks"
WyvernScourgeTracks  	_("Scourge Missile Wyvern Tracks")
WyvernStormbringerTracks	"Stormbringer Wyvern Tracks"
X-Super-Cannon	_("Cannon Fortress")
X-Super-MassDriver	_("Mass Driver Fortress")
X-Super-Missile	_("Missile Fortress")
X-Super-Rocket	_("Heavy Rocket Bastion")
Z-Lab01	_("Cyborg Laboratory")
Z-Lab02	_("Advanced Warfare Laboratory")
Z-Lab03	_("Engineering Laboratory")
Z-Lab04	_("Robotics Laboratory")
Z-Lab05	_("Laser Optics Laboratory")
Z-Lab06	_("Electronics Laboratory")
Z-Lab07	_("Chemical Laboratory")
Z-Lab08	"*Advanced Materials Lab*"
Z-Lab09	"*VTOL Lab*"
Z-Lab10	"*Electro-Magnetics Lab*"
Z-Lab11	"*Nanotech Lab*"
Z-Lab12	"*High Energy Lab*"
ZNULLBODY	"*Z NULL BODY*"
ZNULLBRAIN	"Z NULL BRAIN"
ZNULLCONSTRUCT	"Z NULL CONSTRUCT"
ZNULLDESIGN	_("New Design")
ZNULLECM	"Z NULL ECM"
ZNULLPROGRAM	"Z NULL PROGRAM"
ZNULLPROP	"Z NULL PROP"
ZNULLREPAIR	"Z NULL REPAIR"
ZNullResearch	"*Z Null Research*"
ZNULLSENSOR	"Z NULL SENSOR"
ZNULLWEAPON	"*Z NULL Weapon*"
